Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  05-Jan-2016 08:00:00	50.73467	-0.49426	5	1.970	2.790	13.3	5.7	221	 13	10.7
  05-Jan-2016 08:30:00	50.73440	-0.49462	0	1.840	2.630	11.1	5.6	221	 10	10.7
  05-Jan-2016 09:00:00	50.73432	-0.49464	5	1.760	2.660	14.3	5.6	214	 17	10.8
  05-Jan-2016 09:30:00	50.73428	-0.49462	0	1.740	2.120	6.3	5.5	200	 26	10.7
  05-Jan-2016 10:00:00	50.73431	-0.49466	0	1.710	2.440	6.3	5.3	194	 24	10.7
  05-Jan-2016 10:30:00	50.73431	-0.49464	0	1.670	2.210	5.9	5.3	196	 24	10.7
  05-Jan-2016 11:00:00	50.73427	-0.49464	5	1.520	2.260	14.3	5.2	221	 14	10.7
  05-Jan-2016 11:30:00	50.73427	-0.49462	5	1.470	2.520	15.4	5.0	222	 18	10.8
  05-Jan-2016 12:00:00	50.73421	-0.49462	0	1.440	2.190	6.3	5.0	208	 21	10.8
  05-Jan-2016 12:30:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  05-Jan-2016 13:00:00	50.73436	-0.49460	5	1.380	2.300	14.3	4.8	208	 16	10.7
  05-Jan-2016 13:30:00	50.73475	-0.49385	5	1.490	2.320	14.3	4.9	218	 19	10.8
  05-Jan-2016 14:00:00	50.73453	-0.49335	5	1.510	1.880	13.3	4.5	208	 21	10.7
  05-Jan-2016 14:30:00	50.73452	-0.49342	5	1.490	1.960	12.5	4.7	211	 19	10.7
  05-Jan-2016 15:00:00	50.73446	-0.49329	5	1.510	2.310	12.5	4.5	208	 24	10.7
  05-Jan-2016 15:30:00	50.73442	-0.49325	5	1.510	2.020	12.5	4.5	211	 22	10.7
  05-Jan-2016 16:00:00	50.73447	-0.49323	5	1.470	2.120	14.3	4.7	214	 28	10.8
  05-Jan-2016 16:30:00	50.73465	-0.49325	5	1.460	2.330	11.8	4.9	215	 21	10.7
  05-Jan-2016 17:00:00	50.73452	-0.49329	5	1.520	2.210	12.5	5.1	215	 22	10.7
  05-Jan-2016 17:30:00	50.73452	-0.49331	5	1.450	2.010	11.1	4.8	214	 18	10.7
  05-Jan-2016 18:00:00	50.73452	-0.49333	5	1.460	2.050	12.5	4.9	224	 18	10.7
  05-Jan-2016 18:30:00	50.73455	-0.49338	0	1.440	2.470	10.0	5.3	221	  8	10.7
  05-Jan-2016 19:00:00	50.73461	-0.49340	5	1.460	2.150	12.5	5.4	215	 12	10.7
  05-Jan-2016 19:30:00	50.73466	-0.49351	5	1.470	2.310	13.3	5.6	214	 11	10.7
  05-Jan-2016 20:00:00	50.73481	-0.49370	5	1.430	2.190	12.5	5.6	217	 17	10.7
  05-Jan-2016 20:30:00	50.73447	-0.49460	0	1.520	2.710	10.0	5.9	217	 11	10.7
  05-Jan-2016 21:00:00	50.73435	-0.49458	5	1.470	1.920	13.3	5.7	219	 12	10.7
  05-Jan-2016 21:30:00	50.73431	-0.49460	0	1.400	1.890	11.1	5.7	210	 15	10.7
  05-Jan-2016 22:00:00	50.73421	-0.49462	0	1.360	1.730	9.1	5.7	221	 15	10.7
  05-Jan-2016 22:30:00	50.73427	-0.49456	5	1.230	1.630	13.3	5.6	215	 17	10.7
  05-Jan-2016 23:00:00	50.73425	-0.49449	0	1.160	1.540	8.3	5.3	217	 17	10.7
  05-Jan-2016 23:30:00	50.73423	-0.49466	5	1.090	1.410	12.5	5.2	218	 17	10.7
  06-Jan-2016 00:00:00	50.73423	-0.49464	0	1.040	1.220	10.0	5.2	215	 11	9.8
  06-Jan-2016 00:30:00	50.73431	-0.49464	5	0.930	1.170	13.3	5.1	226	 16	9.7
  06-Jan-2016 01:00:00	50.73435	-0.49471	5	0.880	1.230	13.3	5.2	228	 20	9.7
  06-Jan-2016 01:30:00	50.73435	-0.49471	5	0.880	1.370	13.3	5.0	221	 18	9.7
  06-Jan-2016 02:00:00	50.73448	-0.49464	5	0.860	1.230	14.3	5.1	205	 15	9.7
  06-Jan-2016 02:30:00	50.73471	-0.49438	5	0.850	1.170	11.8	5.1	214	 12	9.6
  06-Jan-2016 03:00:00	50.73468	-0.49355	5	0.850	1.240	12.5	5.0	210	 22	9.6
  06-Jan-2016 03:30:00	50.73454	-0.49340	5	0.870	1.420	11.1	4.9	215	 21	9.7
  06-Jan-2016 04:00:00	50.73454	-0.49335	5	0.860	1.220	10.5	4.9	217	 19	10.1
  06-Jan-2016 04:30:00	50.73450	-0.49329	5	0.910	1.250	12.5	5.1	214	 24	10.7
